"","Stationnumber","weekday","Rideoutminusin"
"356","30050","Tue",-0.125279642058166
"357","30050","Wed",0.0461215932914046
"358","30051","Fri",0.0275689223057644
"359","30051","Mon",0.0855614973262032
"360","30051","Sat",0.0466926070038911
"361","30051","Sun",0.0697674418604651
"362","30051","Thu",-0.0147058823529412
"363","30051","Tue",-0.0443864229765013
"364","30051","Wed",0.0570719602977667
"365","30052","Fri",0.11849710982659
"366","30052","Mon",-0.142384105960265
"367","30052","Sat",0.073394495412844
"368","30052","Sun",-0.107692307692308
"369","30052","Thu",0.0328947368421053
"370","30052","Tue",-0.050314465408805
"371","30052","Wed",0.0754098360655738
"372","30053","Fri",-0.489690721649485
"373","30053","Mon",-0.210958904109589
"374","30053","Sat",-0.39193083573487
"375","30053","Sun",-0.120786516853933
"376","30053","Thu",-0.446194225721785
"377","30053","Tue",-0.266149870801034
"378","30053","Wed",-0.509333333333333
"379","30054","Fri",0.110671936758893
"380","30054","Mon",0.181818181818182
"381","30054","Sat",-0.0461538461538462
"382","30054","Sun",-0.0827067669172932
"383","30054","Thu",0.146118721461187
"384","30054","Tue",0.15609756097561
"385","30054","Wed",0.184331797235023
"386","30055","Fri",-0.0792079207920792
"387","30055","Mon",-0.104938271604938
"388","30055","Sat",-0.315315315315315
"389","30055","Sun",-1.88636363636364
"390","30055","Thu",-0.0463576158940397
"391","30055","Tue",0.162393162393162
"392","30055","Wed",-0.225806451612903
"393","30056","Fri",-0.00746268656716418
"394","30056","Mon",0.0833333333333333
"395","30056","Sat",-0.0140845070422535
"396","30056","Sun",-0.00826446280991736
"397","30056","Thu",0.237885462555066
"398","30056","Tue",0.14468085106383
"399","30056","Wed",-0.0666666666666667
"400","30057","Fri",-0.216890595009597
"401","30057","Mon",-0.161735700197239
"402","30057","Sat",0.0740740740740741
"403","30057","Sun",-0.142857142857143
"404","30057","Thu",-0.170454545454545
"405","30057","Tue",-0.214990138067061
"406","30057","Wed",-0.285714285714286
"407","30058","Fri",0.0729483282674772
"408","30058","Mon",0.11849710982659
"409","30058","Sat",0.248175182481752
"410","30058","Sun",0.286713286713287
"411","30058","Thu",0.0426829268292683
"412","30058","Tue",0.0826446280991736
"413","30058","Wed",0.0121212121212121
"414","30059","Fri",-0.206349206349206
"415","30059","Mon",-0.104477611940299
"416","30059","Sat",-0.0615384615384615
"417","30059","Sun",-0.22093023255814
"418","30059","Thu",-0.0434782608695652
"419","30059","Tue",-0.134328358208955
"420","30059","Wed",-0.0895522388059701
"421","30060","Fri",0.183406113537118
"422","30060","Mon",0.0792291220556745
"423","30060","Sat",0.0415647921760391
"424","30060","Sun",0.1075
"425","30060","Thu",0.109090909090909
"426","30060","Tue",0.0564334085778781
"427","30060","Wed",0.0553097345132743
"428","30061","Fri",-0.039568345323741
"429","30061","Mon",-0.102564102564103
"430","30061","Sat",-0.0158227848101266
"431","30061","Sun",-0.0641025641025641
"432","30061","Thu",-0.0931174089068826
"433","30061","Tue",-0.0738007380073801
"434","30061","Wed",-0.0116279069767442
"435","30062","Fri",0.0264900662251656
"436","30062","Mon",-0.161538461538462
"437","30062","Sat",-0.0144927536231884
"438","30062","Sun",-0.0297029702970297
"439","30062","Thu",0.0733333333333333
"440","30062","Tue",0.0390625
"441","30062","Wed",-0.087248322147651
"442","30063","Fri",0.032069970845481
"443","30063","Mon",0.110429447852761
"444","30063","Sat",0.00819672131147541
"445","30063","Sun",-0.0766283524904215
"446","30063","Thu",0.115384615384615
"447","30063","Tue",0.114457831325301
"448","30063","Wed",0.0845481049562682
"449","30064","Fri",-0.170403587443946
"450","30064","Mon",-0.00975609756097561
"451","30064","Sat",-0.0450819672131148
"452","30064","Sun",-0.0546218487394958
"453","30064","Thu",-0.0674157303370786
"454","30064","Tue",-0.0150753768844221
"455","30064","Wed",-0.142131979695431
"456","30065","Fri",-0.149305555555556
"457","30065","Mon",-0.309236947791165
"458","30065","Sat",-0.155893536121673
"459","30065","Sun",-0.053639846743295
"460","30065","Thu",-0.304498269896194
"461","30065","Tue",-0.161943319838057
"462","30065","Wed",-0.33203125
"463","30066","Fri",-0.108433734939759
"464","30066","Mon",-0.0714285714285714
"465","30066","Sat",0.0725806451612903
"466","30066","Sun",0.0869565217391304
"467","30066","Thu",0.0776699029126214
"468","30066","Tue",-0.0849056603773585
"469","30066","Wed",-0.148648648648649
"470","30067","Fri",0.05
"471","30067","Mon",0.135593220338983
"472","30067","Sat",-0.180327868852459
"473","30067","Sun",0.0634920634920635
"474","30067","Thu",-0.145833333333333
"475","30067","Tue",0.303030303030303
