"","Stationnumber","weekday","hour","Rideoutminusin"
"238","30001","Sun",14,0.409090909090909
"239","30001","Sun",15,-0.0666666666666667
"240","30001","Sun",16,0.1
"241","30001","Sun",17,-0.25
"242","30001","Sun",18,-0.0833333333333333
"243","30001","Sun",19,-0.947368421052632
"244","30001","Sun",20,-0.2
"245","30001","Sun",21,-0.285714285714286
"246","30001","Sun",22,-1
"247","30001","Thu",0,-1.5
"248","30001","Thu",1,-1
"249","30001","Thu",2,-1
"250","30001","Thu",5,1
"251","30001","Thu",6,0.333333333333333
"252","30001","Thu",7,0.444444444444444
"253","30001","Thu",8,1.19047619047619
"254","30001","Thu",9,0.384615384615385
"255","30001","Thu",10,0.222222222222222
"256","30001","Thu",11,1.42857142857143
"257","30001","Thu",12,-0.733333333333333
"258","30001","Thu",13,0.153846153846154
"259","30001","Thu",14,0.454545454545455
"260","30001","Thu",15,-0.181818181818182
"261","30001","Thu",16,-0.5
"262","30001","Thu",17,-1.91304347826087
"263","30001","Thu",18,-0.636363636363636
"264","30001","Thu",19,-1.05
"265","30001","Thu",20,0.375
"266","30001","Thu",21,0.375
"267","30001","Thu",22,-0.333333333333333
"268","30001","Thu",23,-1.33333333333333
"269","30001","Tue",0,-1.5
"270","30001","Tue",1,-1
"271","30001","Tue",2,1
"272","30001","Tue",4,2
"273","30001","Tue",6,1
"274","30001","Tue",7,0.5
"275","30001","Tue",8,1.0625
"276","30001","Tue",9,0.375
"277","30001","Tue",10,0.666666666666667
"278","30001","Tue",11,0
"279","30001","Tue",12,-0.1
"280","30001","Tue",13,0
"281","30001","Tue",14,-0.8125
"282","30001","Tue",15,-0.8125
"283","30001","Tue",16,-0.642857142857143
"284","30001","Tue",17,-1.38095238095238
"285","30001","Tue",18,-1.26666666666667
"286","30001","Tue",19,-0.181818181818182
"287","30001","Tue",20,-0.6
"288","30001","Tue",21,-0.625
"289","30001","Tue",22,-1
"290","30001","Tue",23,-1
"291","30001","Wed",0,-0.5
"292","30001","Wed",1,0
"293","30001","Wed",2,-1
"294","30001","Wed",3,-1
"295","30001","Wed",5,1
"296","30001","Wed",6,1
"297","30001","Wed",7,0.764705882352941
"298","30001","Wed",8,1.26315789473684
"299","30001","Wed",9,0.333333333333333
"300","30001","Wed",10,0.857142857142857
"301","30001","Wed",11,-0.727272727272727
"302","30001","Wed",12,-1.22222222222222
"303","30001","Wed",13,0.888888888888889
"304","30001","Wed",14,0.466666666666667
