"","Start.station","Rideoutminusin"
"167","Social Sciences",0.0934854619065145
"168","South 2nd Street & 3rd Ave S",0.0336666666666667
"169","Target Field Station",0.0483870967741935
"170","U of M St. Paul Student Center",0.0773014757554462
"171","Union Depot",-0.225328947368421
"172","University & Bank Street SE",-0.0430672268907563
"173","University Ave & Western Ave",0.0211640211640212
"174","University Ave SE & Bedford Street SE",0.0518731988472622
"175","University Ave. NE & 12th Ave. NE",-0.202887537993921
"176","University of St. Thomas",-0.00386847195357834
"177","Upper Landing",-0.0842207163601162
"178","Upton Ave S & Sheridan Ave S",-0.0212765957446809
"179","W 31st Street & Hennepin Ave S",-0.0562659846547315
"180","W 36th Street & W Calhoun Parkway",-0.0335679480238224
"181","Wabasha Street S & E Fillmore Ave",-0.524822695035461
"182","Walker Art Center",0.0103151862464183
"183","Washington & 2nd Ave N",0.0131529500187899
"184","Washington & Cedar",0.00214921707092416
"185","Washington & Marquette",-0.0251141552511416
"186","Washington Ave N & Cedar Lake Trail",0.183736809435133
"187","Washington Ave S & 10th Ave S",0.166091458153581
"188","Washington Ave SE & Union Street SE",0.0900262467191601
"189","Webber Park",-0.0682926829268293
"190","Weisman Art Museum",0.177060931899642
"191","Wells Fargo Place",-0.00978260869565217
"192","West 15th Street & Willow",0.0259357500736811
"193","West 32nd Street & Bryant Ave S",-0.0421383647798742
"194","West 34th Street  & Hennepin Ave S",0.122602168473728
"195","West 36th Street & Bryant Ave S",-0.0971198928332217
"196","West Broadway & Logan Ave N",0.142857142857143
"197","Wilder Street & Marshall Ave",0
"198","Willey Hall",0.370333988212181
"199","Williamson Hall",-0.0805346127484578
"200","Wirth Beach",-0.00667556742323097
"201","YWCA Downtown",0.149467649467649
"202","YWCA Uptown",0.0142543859649123
